position_id,employee_id,title,department,supervisor_id,team_id,direct_reports,team_name,team_hierarchy,employee_id_hierarchy,dependent_team_ids,hierarchy_level,subdept_team_id,subdept_name
P0021,E0021,Store Manager 3,Operations,E0010,T0010,42,East Region,|T0001|T0002|T0007|T0008|T0009|T0010|,|E0001|E0002|E0004|E0006|E0010|E0021|,,6,T0008,Retail Operations
P0022,E0022,"VP, Marketing",Marketing,E0001,T0002,3,Leadership,|T0001|T0002|,|E0001|E0022|,|T0013|,2,,
P0023,E0023,"Manager, HR",Legal & HR,E0012,T0017,1,Legal & HR,|T0001|T0002|T0021|T0017|,|E0001|E0047|E0012|E0023|,|T0020|,4,T0020,HR
P0024,E0024,"Manager, Tax",Finance,E0003,T0003,1,Finance,|T0001|T0002|T0003|,|E0001|E0003|E0024|,|T0006|,3,T0006,Tax
P0025,E0025,"VP, IT",IT,E0047,T0021,2,Leadership,|T0001|T0002|T0021|,|E0001|E0047|E0025|,|T0015|,3,,
P0026,E0026,"Manager, Retail Systems",IT,E0025,T0015,1,IT,|T0001|T0002|T0021|T0015|,|E0001|E0047|E0025|E0026|,|T0016|,4,T0016,Retail Systems
P0027,E0027,"Administrator, Marketing",Marketing,E0022,T0013,0,Marketing,|T0001|T0002|T0013|,|E0001|E0022|E0027|,,3,,
P0028,E0028,Store Manager 6,Operations,E0031,T0018,15,West Region,|T0001|T0002|T0007|T0008|T0009|T0018|,|E0001|E0002|E0004|E0006|E0031|E0028|,,6,T0008,Retail Operations
P0029,E0029,Accountant,Finance,E0005,T0004,0,Accounting,|T0001|T0002|T0003|T0004|,|E0001|E0003|E0005|E0029|,,4,T0004,Accounting
P0030,E0030,Store Manager 4,Operations,E0031,T0018,36,West Region,|T0001|T0002|T0007|T0008|T0009|T0018|,|E0001|E0002|E0004|E0006|E0031|E0030|,,6,T0008,Retail Operations
P0031,E0031,"Manager, West Region",Operations,E0006,T0009,3,Supply Chain,|T0001|T0002|T0007|T0008|T0009|,|E0001|E0002|E0004|E0006|E0031|,|T0018|,5,T0008,Retail Operations
P0032,E0032,"Manager, Distribution",Operations,E0014,T0011,2,Supply Chain,|T0001|T0002|T0007|T0011|,|E0001|E0002|E0014|E0032|,|T0012|,4,T0011,Supply Chain
P0038,E0033,Systems Analyst,IT,E0026,T0016,0,Retail Systems,|T0001|T0002|T0021|T0015|T0016|,|E0001|E0047|E0025|E0026|E0033|,,5,T0016,Retail Systems
P0042,E0034,"Manager, Safety & Loss Prevention",Operations,E0004,T0008,0,Retail Operations,|T0001|T0002|T0007|T0008|,|E0001|E0002|E0004|E0034|,,4,T0008,Retail Operations
P0037,E0035,Store Manager 5,Operations,E0031,T0018,21,West Region,|T0001|T0002|T0007|T0008|T0009|T0018|,|E0001|E0002|E0004|E0006|E0031|E0035|,,6,T0008,Retail Operations
P0043,E0036,"DC Manager, West",Operations,E0032,T0012,22,Distribution,|T0001|T0002|T0007|T0011|T0012|,|E0001|E0002|E0014|E0032|E0036|,,5,T0011,Supply Chain
P0046,E0037,"Manager, Transportation & Logistics",Operations,E0014,T0011,0,Supply Chain,|T0001|T0002|T0007|T0011|,|E0001|E0002|E0014|E0037|,,4,T0011,Supply Chain
P0036,E0038,"Systems Lead, Corporate Systems",IT,E0025,T0015,0,Corporate Systems,|T0001|T0002|T0021|T0022|,|E0001|E0047|E0025|E0038|,|T0022|,4,T0022,Corporate Systems
P0033,E0039,"DC Manager, East",Operations,E0032,T0012,12,Distribution,|T0001|T0002|T0007|T0011|T0012|,|E0001|E0002|E0014|E0032|E0039|,,5,T0011,Supply Chain
P0044,E0040,"Manager, Purchasing",Operations,E0014,T0011,0,Supply Chain,|T0001|T0002|T0007|T0011|,|E0001|E0002|E0014|E0040|,,4,T0011,Supply Chain
P0049,E0041,Tax Accountant,Finance,E0024,T0006,0,Tax,|T0001|T0002|T0003|T0006|,|E0001|E0003|E0024|E0041|,,4,T0006,Tax
P0035,E0042,HR Generalist,Legal & HR,E0023,T0020,0,HR,|T0001|T0002|T0021|T0017|T0020|,|E0001|E0047|E0012|E0023|E0042|,,5,T0020,HR
P0048,E0043,"Manager, Store Training",Operations,E0006,T0009,0,Retail Stores,|T0001|T0002|T0007|T0008|T0009|,|E0001|E0002|E0004|E0006|E0043|,,5,T0008,Retail Operations
P0047,E0044,"Analyst, Supply Chain",Operations,E0014,T0011,0,Supply Chain,|T0001|T0002|T0007|T0011|,|E0001|E0002|E0014|E0044|,,4,T0011,Supply Chain
P0050,E0045,Content Developer,Marketing,E0016,T0014,0,Advertising & Digital,|T0001|T0002|T0013|T0014|,|E0001|E0022|E0016|E0045|,,4,T0014,Advertising & Digital
P0039,E0046,"Jr. Counsel, Legal",Legal & HR,E0012,T0017,0,Legal,|T0001|T0002|T0021|T0019|,|E0001|E0047|E0012|E0046|,|T0019|,4,T0019,Legal
P0034,E0047,"Sr. VP, Enerprise Services",Executives,E0001,T0002,2,Leadership,|T0001|T0002|,|E0001|E0047|,|T0021|,2,,
